0 gpu 4 2
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.44              Pass
2                       0.44              Pass
4                       0.46              Pass
8                       0.44              Pass
16                      0.61              Pass
32                      0.61              Pass
64                      0.63              Pass
128                     0.81              Pass
256                     0.83              Pass
512                     0.93              Pass
1024                    0.90              Pass
2048                    0.90              Pass
4096                    0.93              Pass
8192                    1.07              Pass
16384                   1.36              Pass
32768                   1.70              Pass
65536                   2.39              Pass
131072                  3.81              Pass
262144                  7.51              Pass
524288                 18.35              Pass
1048576                33.16              Pass
2097152                63.97              Pass
4194304               128.45              Pass
