1 gpu 2 2
0 gpu 4 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.45              Pass
2                       0.45              Pass
4                       0.48              Pass
8                       0.45              Pass
16                      0.61              Pass
32                      0.60              Pass
64                      0.61              Pass
128                     0.80              Pass
256                     0.83              Pass
512                     0.87              Pass
1024                    0.92              Pass
2048                    0.93              Pass
4096                    0.96              Pass
8192                    1.09              Pass
16384                   1.39              Pass
32768                   1.75              Pass
65536                   2.44              Pass
131072                  3.90              Pass
262144                  7.41              Pass
524288                 18.31              Pass
1048576                34.02              Pass
2097152                64.05              Pass
4194304               127.70              Pass
