# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.46
2                      10.91
4                      21.09
8                      45.86
16                     81.79
32                    165.85
64                    318.40
128                   453.16
256                   903.91
512                  1441.86
1024                 2682.07
2048                 5089.73
4096                 9656.62
8192                14257.39
16384               21789.37
32768               31372.91
65536               39771.86
131072              50570.32
262144              41089.48
524288              26105.84
1048576             21223.22
2097152             20268.63
4194304             20562.76
