# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.90
2                      11.87
4                      23.63
8                      47.36
16                     87.19
32                    166.74
64                    332.23
128                   486.84
256                   935.45
512                  1473.90
1024                 1971.72
2048                 3186.22
4096                 4497.15
8192                 5934.19
16384                7300.15
32768                7548.83
65536               14541.43
131072              26771.05
262144              46465.10
524288              71695.99
1048576             91901.92
2097152            106041.88
4194304            115108.08
