# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.49
4                       0.98
8                       1.94
16                      3.90
32                      7.81
64                     15.51
128                    30.97
256                    61.00
512                   121.05
1024                  236.84
2048                  428.44
4096                  731.78
8192                 1517.39
16384                2981.92
32768                4624.26
65536                6370.94
131072              13373.31
262144              27169.81
524288              35492.03
1048576             42540.06
2097152             49896.31
4194304             55616.50
