# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.49
4                       0.98
8                       1.95
16                      3.91
32                      7.82
64                     15.61
128                    31.09
256                    61.35
512                   121.46
1024                  237.23
2048                  425.67
4096                  727.72
8192                 1489.99
16384                2911.71
32768                4541.76
65536                6258.73
131072              13277.45
262144              26803.70
524288              35955.33
1048576             42534.95
2097152             49426.35
4194304             55515.09
