
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.03
2                       4.11
4                       8.04
8                      15.99
16                     32.67
32                     65.58
64                    131.60
128                   262.27
256                   492.29
512                   963.25
1024                 1921.18
2048                 3911.63
4096                 7878.83
8192                15800.82
16384               23245.00
32768               26363.54
65536               29531.83
131072              31770.57
262144              32852.06
524288              33828.13
1048576             34338.71
2097152             34718.11
4194304             34899.38
