
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.04
2                      10.68
4                      22.86
8                      43.45
16                     77.53
32                    157.27
64                    304.40
128                   401.56
256                   745.21
512                  1327.61
1024                 2552.75
2048                 5041.20
4096                 9841.41
8192                16997.13
16384               28227.90
32768               43331.76
65536               61379.68
131072              77820.35
262144              74001.33
524288              66983.43
1048576             69316.55
2097152             76005.36
4194304             72894.25
