# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.99
2                      10.62
4                      22.53
8                      43.14
16                     83.39
32                    162.26
64                    310.86
128                   477.97
256                   841.74
512                  1320.11
1024                 2726.84
2048                 5439.37
4096                10410.02
8192                17593.62
16384               25220.72
32768               43327.06
65536               61569.28
131072              77722.33
262144              74282.59
524288              68081.14
1048576             73476.71
2097152             75821.29
4194304             76857.61
