
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.10
2                      10.93
4                      20.71
8                      43.85
16                     78.79
32                    150.64
64                    306.20
128                   445.67
256                   868.34
512                  1349.93
1024                 2544.97
2048                 4847.82
4096                 9031.04
8192                15969.09
16384               25689.11
32768               40815.02
65536               58617.12
131072              71641.45
262144              74043.70
524288              64958.34
1048576             69849.12
2097152             75156.00
4194304             75739.90
