
# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.08
2                       4.13
4                       8.27
8                      16.51
16                     33.06
32                     66.22
64                    132.08
128                   262.47
256                   490.38
512                   980.84
1024                 1961.98
2048                 3949.48
4096                 7830.55
8192                16308.88
16384               27070.42
32768               33056.53
65536               38794.91
131072              42357.56
262144              44376.52
524288              45522.33
1048576             46105.99
2097152             46398.68
4194304             46556.62
