# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.06
2                       3.55
4                       8.23
8                      16.54
16                     32.93
32                     65.91
64                    127.52
128                   254.14
256                   493.36
512                   985.38
1024                 1956.51
2048                 3946.03
4096                 7869.18
8192                15981.16
16384               25677.44
32768               32303.92
65536               38729.14
131072              42304.30
262144              44389.49
524288              45485.31
1048576             46087.69
2097152             46394.99
4194304             46552.55
