
# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.30
2                       9.83
4                      22.58
8                      43.47
16                     81.94
32                    160.03
64                    307.39
128                   443.09
256                   828.21
512                  1408.01
1024                  810.10
2048                 1632.30
4096                 3179.66
8192                 1892.26
16384                3765.14
32768                7378.90
65536               14285.28
131072              26300.62
262144              45596.78
524288              71298.66
1048576             90973.54
2097152            105701.59
4194304            115004.03
