# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.81
2                       9.71
4                      22.74
8                      42.84
16                     77.57
32                    165.58
64                    326.71
128                   464.80
256                   764.39
512                  1370.50
1024                  828.89
2048                 1645.76
4096                 3136.44
8192                 1947.40
16384                3858.07
32768                7450.02
65536               14380.85
131072              26559.49
262144              46137.43
524288              71426.45
1048576             91645.33
2097152            105784.45
4194304            115005.91
