#Using RCCL
#Using RCCL
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.21
4                       0.42
8                       0.85
16                      1.71
32                      3.43
64                      6.86
128                    13.45
256                    27.00
512                    53.92
1024                  107.06
2048                  209.39
4096                  394.06
8192                  689.24
16384                1331.42
32768                2461.16
65536                4035.23
131072               7861.86
262144              12314.64
524288              17956.59
1048576             24915.87
2097152             29377.36
4194304             32489.86
