# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.21
4                       0.43
8                       0.86
16                      1.74
32                      3.48
64                      6.96
128                    13.54
256                    27.11
512                    53.97
1024                  107.55
2048                  210.98
4096                  397.29
8192                  711.80
16384                1023.19
32768                2473.80
65536                4038.25
131072               7892.39
262144              12469.04
524288              18095.35
1048576             24993.27
2097152             29257.82
4194304             32427.62
