#Using RCCL
#Using RCCL
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.10
2                       0.21
4                       0.42
8                       0.84
16                      1.71
32                      3.42
64                      6.82
128                    13.13
256                    26.52
512                    52.51
1024                   92.63
2048                  194.20
4096                  349.17
8192                    6.36
16384                  12.77
32768                2190.27
65536                3676.31
131072               7170.74
262144              11227.93
524288              15626.01
1048576             23043.81
2097152             28292.72
4194304             31722.49
