# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.49
4                       0.98
8                       1.95
16                      3.91
32                      7.81
64                     15.59
128                    31.10
256                    61.16
512                   121.23
1024                  236.94
2048                  427.66
4096                  732.83
8192                 1506.28
16384                2935.22
32768                4582.70
65536                6298.51
131072              13369.84
262144              26993.23
524288              36117.74
1048576             42569.11
2097152             49466.00
4194304             56217.21
