#Using RCCL
#Using RCCL
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.49
4                       0.97
8                       1.93
16                      3.89
32                      7.77
64                     15.54
128                    30.96
256                    61.15
512                   121.23
1024                  236.56
2048                  426.70
4096                  732.99
8192                 1507.03
16384                2925.95
32768                4560.28
65536                6317.38
131072              13434.90
262144              26939.43
524288              36191.31
1048576             42600.31
2097152             49837.74
4194304             55762.01
