# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.54
2                       1.07
4                       2.14
8                       4.29
16                      8.17
32                     17.07
64                     34.72
128                    67.58
256                   107.92
512                   218.05
1024                  420.57
2048                  829.80
4096                 1579.32
8192                 3044.10
16384                5479.05
32768                6580.15
65536               11341.94
131072              17631.07
262144              25249.73
524288              32588.31
1048576             38230.37
2097152             42080.52
4194304             44256.85
