# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.56
2                       1.13
4                       2.26
8                       4.52
16                      9.07
32                     18.12
64                     35.78
128                    71.90
256                   143.54
512                   281.60
1024                  412.38
2048                  827.39
4096                 1627.94
8192                 3204.92
16384                6185.31
32768               11569.86
65536               19793.52
131072              31732.31
262144              42704.49
524288              54580.16
1048576             61114.67
2097152             58841.20
4194304             56950.30
