# OSU MPI-CUDA Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.60              Pass
2                       2.62              Pass
4                       2.87              Pass
8                       2.82              Pass
16                      2.75              Pass
32                      2.60              Pass
64                      2.50              Pass
128                     3.18              Pass
256                     3.61              Pass
512                     3.68              Pass
1024                    3.78              Pass
2048                    3.98              Pass
4096                    4.12              Pass
8192                    4.45              Pass
16384                   5.07              Pass
32768                   8.50              Pass
65536                   9.94              Pass
131072                 12.56              Pass
262144                 18.11              Pass
524288                 29.05              Pass
1048576                50.80              Pass
2097152                94.02              Pass
4194304               180.39              Pass
