# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.29
4                       0.58
8                       1.16
16                      2.33
32                      4.66
64                      9.40
128                    18.86
256                    38.24
512                    75.66
1024                  153.48
2048                  311.22
4096                  580.45
8192                 1114.68
16384                1982.26
32768                3452.00
65536                6180.99
131072               4691.90
262144              23894.70
524288              41960.66
1048576             65244.64
2097152             90260.75
4194304            116484.10
