# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.53
8                       1.07
16                      2.18
32                      4.35
64                      8.72
128                    16.57
256                    33.53
512                    67.05
1024                  133.27
2048                  263.62
4096                  521.07
8192                 1016.05
16384                1943.44
32768                2894.32
65536                4780.03
131072               9535.93
262144              15398.61
524288              22885.16
1048576             32491.78
2097152             37462.51
4194304             41328.02
