# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
1                      12.98
2                      12.90
4                      12.87
8                      12.78
16                     12.78
32                     12.73
64                     12.70
128                    12.71
256                    12.65
512                    12.66
1024                   12.70
2048                   12.79
4096                   12.91
8192                   13.56
16384                  14.42
32768                  17.79
65536                  19.67
131072                 19.95
262144                 20.55
524288                 24.13
1048576                31.08
2097152                44.77
4194304                62.49
