
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.48
2                       0.48
4                       0.48
8                       0.48
16                      0.48
32                      0.54
64                      0.60
128                     0.62
256                     0.62
512                     0.65
1024                    0.82
2048                    0.98
4096                    1.22
8192                    0.99
16384                   1.08
32768                   1.21
65536                   1.62
131072                  2.18
262144                  3.26
524288                  6.99
1048576                20.93
2097152                41.38
4194304                74.83
