
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.48
2                       0.48
4                       0.48
8                       0.48
16                      0.48
32                      0.53
64                      0.57
128                     0.57
256                     0.58
512                     0.64
1024                    0.75
2048                    1.03
4096                    1.43
8192                    0.97
16384                   1.08
32768                   1.40
65536                   1.78
131072                  2.57
262144                  3.51
524288                  9.60
1048576                18.26
2097152                36.48
4194304                71.47
