
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.19
4                      18.51
8                      37.21
16                     73.74
32                    131.43
64                    203.80
128                   437.83
256                   874.56
512                  1548.38
1024                 2946.57
2048                 3704.94
4096                 7074.54
8192                18196.73
16384               26412.28
32768               42686.21
65536               59619.98
131072              71440.56
262144              67592.73
524288              46318.67
1048576             39539.23
2097152             36337.34
4194304             34960.55
