
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.74
2                       0.74
4                       0.74
8                       0.74
16                      0.75
32                      0.84
64                      0.95
128                     0.96
256                     0.97
512                     1.00
1024                    1.20
2048                    1.48
4096                    1.71
8192                    1.55
16384                   1.63
32768                   1.75
65536                   2.31
131072                  2.84
262144                  3.94
524288                  7.63
1048576                21.40
2097152                43.58
4194304                77.10
