
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.79
2                       9.51
4                      18.96
8                      37.41
16                     76.08
32                    135.37
64                    226.91
128                   423.74
256                   785.29
512                  1709.97
1024                 3144.01
2048                 4017.20
4096                 5421.10
8192                17658.77
16384               25364.70
32768               38276.16
65536               51558.56
131072              62027.86
262144              43916.60
524288              38986.60
1048576             43718.61
2097152             42320.79
4194304             41594.28
