# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      72.35
2                      71.09
4                      71.07
8                      72.44
16                     72.64
32                     72.78
64                     72.62
128                    87.35
256                    94.92
512                    96.95
1024                  101.75
2048                  108.04
4096                  121.33
8192                  135.73
16384                 189.10
32768                 284.12
65536                 481.95
131072                883.22
262144               2114.86
524288               3640.12
1048576              7431.63
