# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.71
8                      30.33
16                     53.94
32                     54.06
64                     52.44
128                    56.10
256                    56.43
512                    58.66
1024                   60.78
2048                   62.40
4096                   67.60
8192                   94.22
16384                 103.70
32768                 126.53
65536                 170.86
131072                289.31
262144                641.77
524288                986.40
1048576              1783.25
