# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    1659.71
2                    1703.30
4                    1736.81
8                    1798.26
16                   1926.23
32                   1433.18
64                   1417.82
128                  1494.28
256                  1483.20
512                    53.80
1024                   54.13
2048                   54.51
4096                   55.78
8192                   68.18
16384                  93.30
32768                 144.07
65536                 283.30
131072                590.34
262144               1156.35
524288               2370.10
1048576              4938.04
