# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    1494.25
2                    1376.99
4                    1382.09
8                    1395.47
16                   1411.19
32                   1406.74
64                   1420.84
128                  1440.65
256                  1442.53
512                   102.00
1024                  103.36
2048                  106.13
4096                  128.35
8192                  136.28
16384                 140.82
32768                 175.08
65536                 249.56
131072                422.72
262144                793.94
524288               1537.82
1048576              3204.06
