# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     799.25
8                     668.73
16                    667.43
32                    667.23
64                    704.58
128                   731.89
256                   753.50
512                   155.13
1024                  157.26
2048                  264.91
4096                  183.00
8192                  197.40
16384                 230.84
32768                 266.18
65536                 342.17
131072                542.74
262144                956.46
524288               1765.35
1048576              3393.33
