# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      63.05
2                      62.88
4                      63.36
8                      63.76
16                     64.43
32                     65.05
64                     69.43
128                    76.24
256                    83.46
512                    90.63
1024                   97.52
2048                  128.04
4096                  176.08
8192                  301.42
16384                 396.65
32768                 704.08
65536                1321.58
131072               2558.56
262144               4877.10
524288               9999.38
1048576             19716.01
