# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      25.90
2                      26.11
4                      27.78
8                      30.11
16                     31.45
32                     54.85
64                     57.62
128                    60.23
256                    63.43
512                   101.44
1024                  124.57
2048                  189.06
4096                  307.95
8192                  519.91
16384                 907.75
32768                3617.05
65536                4303.84
131072               5604.18
262144               7541.83
524288              11925.71
1048576             21402.68
