# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.39
2                      22.10
4                      22.54
8                      23.27
16                     24.26
32                     56.02
64                     56.98
128                    62.85
256                    63.09
512                   102.75
1024                  142.54
2048                  211.51
4096                  337.21
8192                  590.28
16384                1528.62
32768                9175.00
65536               14095.07
131072              24812.15
262144              42944.63
524288              90811.48
1048576            174573.38
