# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.69
8                      30.46
16                     30.45
32                     43.01
64                     42.49
128                    46.31
256                    50.11
512                    52.03
1024                   53.03
2048                  106.00
4096                  132.14
8192                  139.26
16384                 117.66
32768                 269.14
65536                 281.97
131072                462.45
262144                765.80
524288               1157.51
1048576              2709.11
