# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.94
8                      35.68
16                     35.60
32                     35.74
64                     63.53
128                    65.16
256                    67.21
512                    68.80
1024                   71.32
2048                  155.96
4096                  127.71
8192                  140.13
16384                 154.09
32768                 213.26
65536                 305.44
131072                498.54
262144                766.17
524288               1987.57
1048576              2937.62
