# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      62.38
2                      61.99
4                      62.79
8                      63.85
16                     69.44
32                    115.84
64                    117.68
128                   137.52
256                   129.62
512                   145.79
1024                  175.40
2048                  235.45
4096                  215.17
8192                 8529.61
16384                1177.08
32768                1213.31
65536                1228.73
131072               1270.20
262144               5032.98
524288               8123.93
1048576             12815.16
