# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.49
2                      15.49
4                      14.84
8                      15.20
16                     17.01
32                     18.46
64                     19.14
128                    19.94
256                    21.88
512                    26.61
1024                   29.84
2048                   32.98
4096                   45.66
8192                   69.53
16384                 115.23
32768                 209.40
65536                 393.98
131072                768.45
262144               1461.34
524288               2918.89
1048576              5666.23
