# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.70
2                       8.69
4                       8.77
8                       8.73
16                      8.95
32                      9.08
64                     10.20
128                    11.11
256                    11.32
512                    11.72
1024                   17.13
2048                   16.04
4096                   20.91
8192                   26.18
16384                  32.99
32768                  44.70
65536                  70.69
131072                124.84
262144                231.16
524288                451.99
1048576               893.12
