# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.94
2                      31.43
4                      32.32
8                      33.84
16                     35.63
32                     46.30
64                     53.92
128                    97.73
256                   113.73
512                   231.19
1024                  266.39
2048                  329.13
4096                  427.12
8192                  877.75
16384                1274.46
32768                2102.50
65536                3832.68
131072               8551.35
262144              19635.06
524288              40098.62
1048576             80071.97
