# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.59
2                       1.67
4                       1.65
8                       1.76
16                      1.77
32                      1.80
64                      1.88
128                     2.75
256                     3.65
512                     4.67
1024                    4.99
2048                    6.53
4096                    9.12
8192                   14.98
16384                  25.22
32768                  61.59
65536                 108.91
131072                214.15
262144                421.95
524288                833.35
1048576              1612.11
