# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      35.14
2                      37.02
4                      39.26
8                      41.80
16                     51.21
32                     62.15
64                     76.82
128                   127.48
256                   153.70
512                   267.56
1024                  315.95
2048                  397.15
4096                  537.72
8192                 1065.82
16384                1601.77
32768                2681.22
65536                4900.17
131072               9384.40
262144              18135.21
524288              35662.73
1048576             70731.69
