# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.75
2                      44.77
4                      47.54
8                      52.29
16                     58.79
32                     65.63
64                    278.69
128                   238.83
256                   247.00
512                   383.46
1024                  464.38
2048                  625.79
4096                  918.97
8192                 1970.96
16384                3105.51
32768                5370.48
65536                9999.14
131072              19135.02
262144              37267.71
524288              73574.21
1048576            146513.52
