# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.35
2                      19.55
4                      20.37
8                      21.19
16                     22.17
32                     23.04
64                     24.97
128                    34.00
256                    45.49
512                    69.96
1024                  107.77
2048                  161.38
4096                  264.34
8192                  457.44
16384                 850.65
32768                2212.29
65536                4422.41
131072               8444.01
262144              16578.62
524288              33359.67
1048576             89625.82
