# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.20
8                      18.68
16                     18.80
32                     19.45
64                     18.96
128                    22.14
256                    25.03
512                    25.19
1024                   25.99
2048                   39.92
4096                   34.27
8192                   75.92
16384                  84.20
32768                  96.46
65536                 200.29
131072                330.48
262144                587.47
524288               1098.97
1048576              2132.46
