# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      48.64
8                      49.26
16                     49.34
32                     50.57
64                     49.68
128                    56.17
256                    81.19
512                    83.23
1024                   86.42
2048                   91.17
4096                   98.21
8192                  131.44
16384                 185.61
32768                 175.02
65536                 237.85
131072                470.98
262144                884.21
524288               1819.17
1048576              3385.57
