# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.98
8                       3.20
16                      3.14
32                      2.97
64                      3.67
128                     3.92
256                     4.30
512                     4.53
1024                    4.79
2048                    5.61
4096                    9.24
8192                   13.50
16384                  19.70
32768                  23.55
65536                  35.17
131072                 60.51
262144                117.90
524288                229.52
1048576               434.87
