# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.37
8                      33.91
16                     34.28
32                     34.61
64                     48.75
128                    52.86
256                    55.36
512                    57.35
1024                   60.14
2048                   63.47
4096                   69.05
8192                   91.80
16384                 101.42
32768                 124.43
65536                 180.32
131072                330.92
262144                547.78
524288               1016.57
1048576              1907.77
