# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      38.56
8                      39.11
16                     39.15
32                     40.15
64                     39.76
128                    69.77
256                    73.92
512                    88.69
1024                  105.07
2048                   91.88
4096                   93.57
8192                  154.27
16384                 177.27
32768                 220.15
65536                 290.22
131072                466.14
262144                800.76
524288               1451.35
1048576              2756.57
