# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.51
8                      28.79
16                     28.39
32                     29.02
64                     47.19
128                    49.65
256                    51.48
512                    53.09
1024                   55.42
2048                   96.45
4096                   63.38
8192                   85.89
16384                 108.63
32768                 151.21
65536                 227.00
131072                394.29
262144                762.28
524288               1479.57
1048576              2944.64
