# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.04
2                      35.40
4                      45.69
8                      46.27
16                     47.14
32                     50.55
64                     53.50
128                    84.86
256                    99.77
512                   160.65
1024                  148.73
2048                  149.61
4096                  151.75
8192                  201.55
16384                 319.07
32768                 576.36
65536                1170.37
131072               2569.73
262144               5234.03
524288               9698.65
1048576             19526.92
