# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.86
2                      58.89
4                      59.09
8                      69.21
16                     64.29
32                     67.71
64                    148.27
128                   174.17
256                   248.81
512                   295.15
1024                  290.26
2048                  320.14
4096                  358.50
8192                  469.18
16384                 728.07
32768                4842.38
65536                5803.80
131072               7924.54
262144              11968.34
524288              19786.87
1048576             38237.15
