# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.03
2                      41.41
4                      41.90
8                      42.41
16                     47.09
32                     48.64
64                     48.82
128                    94.15
256                   110.86
512                   184.47
1024                  160.61
2048                  175.86
4096                  198.78
8192                  220.33
16384                 334.67
32768                 585.58
65536                1145.85
131072               2296.69
262144               5549.47
524288               9836.98
1048576             19148.32
