# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.58
2                       2.55
4                       2.52
8                       2.52
16                      2.61
32                      2.61
64                      2.66
128                     2.73
256                     2.86
512                     5.61
1024                    5.74
2048                    5.91
4096                    6.44
8192                    7.31
16384                   9.77
32768                  15.01
65536                  28.44
131072                 47.18
262144                 82.65
524288                128.41
1048576               248.75
