# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.86
2                      13.92
4                      14.01
8                      14.26
16                     15.45
32                     18.94
64                     19.21
128                    28.11
256                    21.26
512                    14.80
1024                   14.97
2048                   15.96
4096                   17.56
8192                   30.21
16384                  42.29
32768                  67.24
65536                 116.50
131072                218.31
262144                421.97
524288                903.68
1048576              1851.99
