# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      80.69
2                      81.53
4                      83.47
8                      92.25
16                    156.33
32                    135.58
64                    157.25
128                   205.46
256                   303.13
512                   633.85
1024                  635.28
2048                  633.13
4096                  637.69
8192                  718.95
16384                1146.83
32768                2179.83
65536                5087.11
131072              12536.57
262144              18013.12
524288              32856.82
1048576             63319.79
