# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.74
2                      41.50
4                      42.12
8                      42.71
16                     47.61
32                     49.53
64                     49.78
128                    97.62
256                   112.89
512                   146.38
1024                  158.41
2048                  168.51
4096                  186.65
8192                  204.50
16384                 320.67
32768                 636.28
65536                1434.83
131072               3130.34
262144               5454.72
524288               9627.57
1048576             17009.05
