# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     315.08
2                     315.21
4                     315.85
8                     317.05
16                    316.91
32                    317.41
64                    320.13
128                   323.03
256                   326.05
512                   337.03
1024                 1787.94
2048                  439.30
4096                 1854.02
8192                 2039.09
16384                2244.20
32768                1876.08
65536                1908.36
131072               1984.94
262144               2221.29
524288               2815.18
1048576              5592.53
