# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     109.05
8                     109.04
16                    100.25
32                    100.27
64                     41.61
128                    42.06
256                    43.54
512                    45.11
1024                   47.63
2048                   50.84
4096                   54.30
8192                  112.31
16384                 121.47
32768                 122.81
65536                 124.72
131072                148.54
262144                165.25
524288                194.45
1048576               255.01
