# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                    1886.93
2                    1873.60
4                    1882.23
8                    1880.38
16                   1879.26
32                   1880.03
64                   1887.42
128                  2390.60
256                  2182.34
512                  1886.86
1024                 1896.11
2048                 1956.08
4096                 1996.99
8192                 2197.41
16384                2286.20
32768                2524.44
65536                3599.65
131072               4669.83
262144               7659.91
524288              16303.83
1048576             33188.65
